D.O.B,Time,Gender,location,District,state
2013-06-07,16:45:00,Male,NAD ,Visakhapatnam,Andhra pradesh
2014-02-16,04:30:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2014-04-16,06:30:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
2014-06-09,18:00:00,Male,rajam ,Srikakulam,Andhra pradesh
2014-07-06,10:53:00,Male,Jagadamba,Visakhapatnam,Andhra pradesh
2014-07-06,03:30:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2014-07-06,21:00:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2014-10-10,10:20:00,Female,Purnamarket,Visakhapatnam,Andhra pradesh
2014-10-11,22:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2014-12-20,11:20:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
2015-02-12,05:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2015-05-25,04:40:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2015-07-07,11:00:00,Female,Purnamarket,Visakhapatnam,Andhra pradesh
2015-10-08,16:30:00,Female,seepanaidu peta,Srikakulam,Andhra pradesh
2016-02-01,16:40:00,female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2016-02-05,10:20:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2016-02-18,15:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2016-03-24,22:52:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-03-29,11:36:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-06,09:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-09,23:45:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-10,00:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-11,09:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-16,19:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-16,21:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-18,13:45:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-21,04:12:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-04-30,12:19:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-05-14,09:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-05-23,01:40:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-05-26,14:35:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-06-01,05:57:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-06-10,15:55:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-06-10,17:35:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-06-14,05:43:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-06-18,10:30:00,Female,Water tank,Vizianagaram,Andhra pradesh
2016-07-01,08:00:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2016-07-06,18:34:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-08,01:45:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-12,18:45:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-14,23:06:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-16,11:30:00,Male,NAD ,Visakhapatnam,Andhra pradesh
2016-07-19,09:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-25,19:35:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-27,09:50:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-07-27,12:03:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-08-02,07:42:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-08-02,13:04:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-08-03,12:28:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-09-14,07:06:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-09-15,15:48:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-09-29,11:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2016-10-03,05:26:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-10-08,23:30:00,Female,S.kota,Visakhapatnam,Andhra pradesh
2016-10-13,03:25:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2016-10-14,13:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-10-25,10:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2017-01-23,06:15:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
2017-01-25,10:51:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-01-29,16:50:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-01-31,00:35:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-01-31,04:08:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-01,09:25:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-01,12:40:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-02,11:16:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-08,03:45:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-20,16:10:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-21,17:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-22,01:57:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-23,11:31:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-24,17:24:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-02-28,14:10:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-07,07:10:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-10,03:15:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-10,21:55:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-11,12:43:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-17,07:31:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-19,19:55:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-19,20:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2017-03-28,15:35:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2018-03-22,02:40:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2018-04-26,23:39:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2018-06-30,17:15:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2018-07-11,08:30:00,Male,Jagadamba,Visakhapatnam,Andhra pradesh
2018-11-12,21:30:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2018-12-15,10:00:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2019-02-21,18:48:00,Male,seepanaidu peta,Srikakulam,Andhra pradesh
2019-02-25,00:30:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2019-04-07,21:14:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-05-02,02:20:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-05-17,01:22:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-05-30,00:46:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-06-16,09:30:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2019-06-17,02:17:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-06-20,04:40:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-06-20,15:20:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-06-22,17:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-06-30,10:32:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-07-09,04:29:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-07-09,20:49:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-07-22,07:41:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-08-07,04:47:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-08-07,23:48:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-08-15,04:50:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-09-24,18:42:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-09-29,07:42:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-10-09,23:25:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-10-18,20:10:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-10-21,08:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-10-29,21:23:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-10-31,13:01:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-01,18:01:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-10,02:08:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-26,03:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-28,01:16:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-30,04:35:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-12-02,20:35:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2019-12-08,00:17:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-12-29,16:48:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-01-18,12:30:00,Male,Parvathipuram,Vizianagaram,Andhra pradesh
2020-02-01,05:15:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-03-03,14:44:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-03-23,07:20:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-04-11,09:26:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-04-24,06:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-05-11,17:17:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-05-12,13:13:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-05-20,18:14:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-05-26,23:17:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-06-06,08:29:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-06-11,19:24:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-07-15,08:33:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-07-20,08:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-07-24,06:22:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-07-24,21:23:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-08-03,22:41:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-08-09,16:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-08-23,13:29:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-08-24,21:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-10-16,09:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-10-29,03:33:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-12-03,03:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-12-09,08:50:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2020-12-09,16:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-12-31,05:07:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-01-10,05:45:00,Male,Sanapalvani peta,Srikakulam,Andhra pradesh
2021-01-17,01:06:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2021-01-18,06:10:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-02-09,00:02:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-03-26,04:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-03-29,04:19:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2021-05-05,12:45:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2021-05-28,17:52:00,Female,Garividi PHC,Visakhapatnam,Andhra pradesh
2021-06-24,00:40:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-07-11,02:35:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2021-07-13,02:20:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2021-07-13,02:20:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2021-07-26,20:10:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2021-08-01,07:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-11-17,19:10:00,Female,kakinada ,Visakhapatnam,Andhra pradesh
2013-11-06,11:56:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2002-09-12,05:30:00,Male,Diamond park,Visakhapatnam,Andhra pradesh
2005-10-02,19:20:00,Female,Diamond park,Visakhapatnam,Andhra pradesh
2003-11-21,12:30:00,Female,Gunupur,Rayagada,odisha
2006-07-01,04:00:00,Female,Gunupur,Rayagada,odisha
2005-09-05,15:00:00,Female,Rourkela,Sundergarh,odisha
2010-08-18,23:30:00,Male,Rourkela,Sundergarh,odisha
2011-03-10,22:30:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2014-07-06,10:53:00,Male,Jagadamba,Visakhapatnam,Andhra pradesh
2014-10-10,10:20:00,Female,Purnamarket,Visakhapatnam,Andhra pradesh
2015-07-07,11:00:00,Female,Purnamarket,Visakhapatnam,Andhra pradesh
2005-08-30,04:20:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
1985-04-19,21:30:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
1990-10-03,07:20:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
1987-11-15,08:10:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2003-12-31,21:30:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2003-05-15,05:20:00,Male,Dwaraka nagar,Visakhapatnam,Andhra pradesh
2004-10-26,04:10:00,Female,Pedda waltair,Visakhapatnam,Andhra pradesh
1972-12-17,07:45:00,Male,Kothapeta,Visakhapatnam,Andhra pradesh
1978-07-05,07:35:00,Male,Purnamarket,Visakhapatnam,Andhra pradesh
1976-08-18,20:10:00,Female,Kothapeta,Visakhapatnam,Andhra pradesh
2011-11-22,14:30:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2008-06-26,11:30:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
1985-02-10,04:20:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
2010-02-02,15:10:00,Male,Daba gardens,Visakhapatnam,Andhra pradesh
2004-01-29,02:20:00,Male,M.V.P colony,Visakhapatnam,Andhra pradesh
2005-10-29,09:00:00,Male,Parvathipuram,Visakhapatnam,Andhra pradesh
